Feature ID	Taxon	Confidence
e8e024ac5546a96a3f4097f5272f7f02	k__Chromista;p__Bacillariophyta	0.9841274205772776
c60a05fccd9ebcaa2c6aa3e5213c1dc5	k__Chromista;p__Bacillariophyta	0.988999303255188
8d79af29174d049878367ba017c47b38	k__Chromista;p__Bacillariophyta	0.9865714638453446
9f811cb54d2c52bd086ca23a6ba8a8ef	k__Chromista;p__Bacillariophyta	0.9911276445443836
80f92e65c862cb97086ae708a1033e40	k__Chromista;p__Bacillariophyta	0.9846736947982985
ec70cd9b5688fb6fe5b70cf35a39dc4b	k__Chromista;p__Bacillariophyta	0.9859993331318315
7b95cf9386a5bcc66a0c247288347390	k__Chromista;p__Bacillariophyta	0.9825842752839732
087fc32bd62979cd51d50a5eb73a913d	k__Chromista;p__Bacillariophyta	0.9891791475727447
854dc78b687a1c7062f9382d88854659	k__Chromista;p__Bacillariophyta	0.9919121195970462
808b197a7de9d86ad778a4a9d9152d6e	k__Chromista;p__Bacillariophyta	0.9818297520326209
74ceb6a3fa6e85c369f798261b30ff3b	k__Chromista;p__Bacillariophyta	0.9897442796183173
946bbc0193142f5900900c15e9c00797	k__Chromista;p__Bacillariophyta	0.9811681915484325
2870019a171a231c022ebd7a10937c7f	k__Chromista;p__Bacillariophyta	0.9901538869197306
c7da8bfc7882ead731e54127bf8570d3	k__Chromista;p__Bacillariophyta	0.9750029048084382
21f3a6ec77cfd65b6fc2030eadf596d0	k__Chromista;p__Bacillariophyta	0.9766355954185636
0278e821a1e20b3eb82dbe1adbffd82a	k__Chromista;p__Bacillariophyta	0.9966846308155103
b539216e9219db66f41a7c513a05e268	k__Chromista;p__Bacillariophyta	0.9925914273995101
afface98a80661686d64311679f78b71	k__Chromista;p__Bacillariophyta	0.9877693422487217
4726d2d1d4fcd3e7c386a08f9d0cb6f9	k__Chromista;p__Bacillariophyta	0.9920239458842207
bd9b14098578f26f062d4dcb59b50df9	k__Chromista;p__Bacillariophyta	0.9880053470530157
a86b8f83742c2633387e6a150edc3788	k__Chromista;p__Bacillariophyta	0.9848845693345997
de9dfbab3f9dac620b3befc40e20d2de	Unassigned	0.9821451319439879
94aedbb2adac9bcbaf98af9f005851da	k__Chromista;p__Bacillariophyta	0.9893682561793027
66205d6fff85b8f14b3db8864980ba6d	k__Chromista;p__Bacillariophyta	0.9899233164024708
d3d21905a3a481e4c3afad4cbc14e511	k__Chromista;p__Bacillariophyta	0.9862563711173966
7bc9dd01115c35a960d4d1a52d51eddd	k__Chromista;p__Bacillariophyta	0.9890063783069365
2d022edbda1faef2b2a93ae564b20fe8	k__Chromista;p__Bacillariophyta	0.9918029259161625
2299be90591b9b205b68a583abb4bbe3	k__Chromista;p__Bacillariophyta	0.988466243231898
ed1901c16e2b9fcbb3bc3538977b9d0e	k__Chromista;p__Bacillariophyta	0.9834486431713649
756448cdb20f4898d0c829b35ef35701	k__Chromista;p__Bacillariophyta	0.9692717050575328
3ce640242baff012d7efea27b3cff1a9	k__Chromista;p__Bacillariophyta	0.9880945668782586
552c3ea9af75229146728bccc0a46410	k__Chromista;p__Bacillariophyta	0.9882543021783253
bd1ac1e9bf4abcd6b988bd38bb72dceb	k__Chromista;p__Bacillariophyta	0.9837941620621049
d4c68da61050d19d50cdf09b90ce5916	k__Chromista;p__Bacillariophyta	0.9881300159239677
2cccc8873fd9b600af2cdb429e53a3a8	k__Chromista;p__Bacillariophyta	0.9876409750855515
9c7b179ae8f0de99eddf07029d984aba	k__Chromista;p__Bacillariophyta	0.9854159199373546
c00d8e87c65a63f7fb0401bcfe8751f4	k__Chromista;p__Bacillariophyta	0.9894242030923236
675529505bfe08dcd0a609ece140cb3b	k__Chromista;p__Bacillariophyta	0.9903437975913136
5026d39e4a7d1c0d68637793d705efea	k__Chromista;p__Bacillariophyta	0.9917553807117552
eb8e0adae77926b2dc7223bb3441596e	k__Chromista;p__Bacillariophyta	0.9901718409662653
a195bf10d9a2b062901550f474e4b5f0	k__Chromista;p__Bacillariophyta	0.9981874956377952
469d5ce82be111abf278923f87ffb75e	k__Chromista;p__Bacillariophyta	0.9866204753697261
c23c93bba9f43661cf628825acf3c57c	k__Chromista;p__Bacillariophyta	0.971360477453842
ac323c20bb93ac4b80d394ed58cb9a84	k__Chromista;p__Bacillariophyta	0.9772110504581502
db43021fed3030090e53e6cb34b7b315	k__Chromista;p__Bacillariophyta	0.9787088441650823
a8fd581bb883897731fb3244323b2b78	k__Chromista;p__Bacillariophyta	0.985817902189676
56aad81f6129442d393b2dfb10b0063b	k__Chromista;p__Bacillariophyta	0.9904669889720001
d9a38ddfe58303d8a05c701196c9093b	k__Chromista;p__Bacillariophyta	0.9864861119814419
9bf7d7b356d2c5bdf62917cf289727b5	k__Chromista;p__Bacillariophyta	0.9899149509965005
fd9137d683307d035c76b5f51cf1277f	k__Chromista;p__Bacillariophyta	0.9817170548159766
